artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
141930,1390892,hoo_bamon,26,203,181.8076923076923077,237.9230769230769231,0.12807881773399016
25262,1593308,aaaa_(quad-a),123,962,76.7560975609756098,85.6016260162601626,0.12785862785862787
128330,1346908,cian_yo,85,665,110.1764705882352941,216.9176470588235294,0.12781954887218044
287470,1789979,sleepypudding,14,110,284,273,0.12727272727272726
199229,1793996,puk_(puk_2020),17,134,172.7058823529411765,176.8235294117647059,0.12686567164179105
209442,1585843,lewdishsnail,13,103,173.6923076923076923,183.0769230769230769,0.1262135922330097
172548,1483516,sano_br,14,111,43,42.9285714285714286,0.12612612612612611
106252,1534441,optionaltypo,146,1158,191.3013698630136986,287.5958904109589041,0.12607944732297063
180142,1504084,basukechi,15,119,75.8,82.6666666666666667,0.12605042016806722
135681,1370261,denkaisui,16,127,60.0625,80.625,0.12598425196850394
188791,1529279,awesomeerix,18,143,230.4444444444444444,232.1666666666666667,0.1258741258741259
107111,1272199,live_for_the_funk,17,136,59.4117647058823529,128.6470588235294118,0.125
138326,1379589,paintrfiend,33,264,95.2121212121212121,156.7878787878787879,0.125
210559,1608552,nopetroto,37,297,47.3243243243243243,44.2162162162162162,0.12457912457912458
189205,1556965,keigi,28,225,178.7857142857142857,189.9285714285714286,0.12444444444444444
143021,1391631,deilan12,19,153,154.6315789473684211,224.9473684210526316,0.12418300653594772
188590,1528510,kukumomo,36,294,204.8611111111111111,222.7777777777777778,0.12244897959183673
82104,669819,rtil,111,907,78.9459459459459459,97.2342342342342342,0.12238147739801543
186498,1522257,nico-mo,14,115,137.2142857142857143,139.5,0.12173913043478261
160382,1454986,masuyama_ryou,65,538,62.8,80.9230769230769231,0.120817843866171
118903,1313551,razalor,41,342,85.2926829268292683,155.1219512195121951,0.11988304093567251
194655,1545288,mark_gavatino,33,276,146.5454545454545455,141.7272727272727273,0.11956521739130435
121314,1462558,dosu_(doseven),17,143,114.5882352941176471,117.7647058823529412,0.11888111888111888
208103,1579771,thirty_8ght,24,202,179.3333333333333333,191,0.1188118811881188
102042,1309436,kevin.g.tuck,13,110,29.6153846153846154,45.2307692307692308,0.11818181818181818
204516,1572613,dirty_ero,13,110,135.6153846153846154,167.0769230769230769,0.11818181818181818
211930,1592629,xerbatt,17,144,102.8823529411764706,100.9411764705882353,0.11805555555555555
172328,1482933,mingke,17,144,59.7647058823529412,58.8235294117647059,0.11805555555555555
121486,1323030,blaccura,23,196,138.1739130434782609,173.9130434782608696,0.11734693877551021
234755,1659268,gueya,15,128,132.8,128.8666666666666667,0.1171875
12777,411854,emurin,55,470,12.2181818181818182,12.4909090909090909,0.11702127659574468
7101,385582,kso,28,241,10.5,9.2142857142857143,0.11618257261410789
33743,672246,musouzuki,57,492,104.8421052631578947,98.9473684210526316,0.11585365853658537
91718,927941,gekkou_(geccomajin),14,121,58.1428571428571429,52.3571428571428571,0.11570247933884298
127381,1408660,gao_(gaolukchup),35,303,132.6,231.2571428571428571,0.11551155115511551
140097,1442966,carbon12th,24,208,86.875,109.9583333333333333,0.11538461538461539
164950,1463509,ateoyh,30,262,146.3666666666666667,240.2,0.11450381679389313
202659,1567007,yotubeya,15,132,61.5333333333333333,59.6666666666666667,0.11363636363636363
37899,1859051,dean_(momodean),16,141,90.4375,102.5625,0.11347517730496454
114384,1297192,harunoha,12,106,36,33.3333333333333333,0.11320754716981132
154906,1430426,teriibol,13,115,123.4615384615384615,167,0.11304347826086956
129279,1339604,nyatrix,16,142,82,76,0.11267605633802817
169544,1475987,cinko,16,143,52,68.5625,0.11188811188811189
221836,1621473,efreezerarts,21,188,77.9047619047619048,74.5238095238095238,0.11170212765957446
132785,1456458,revolverwing,24,215,75.5833333333333333,112.1666666666666667,0.11162790697674418
78099,1608740,xter,45,404,142.2222222222222222,223.0666666666666667,0.11138613861386139
268053,1752380,diforland,14,127,256.8571428571428571,248.2142857142857143,0.11023622047244094
40471,484322,redcomet,56,511,57.5535714285714286,81.8571428571428571,0.1095890410958904
44311,538732,thanabis,21,194,96.2380952380952381,155.9523809523809524,0.10824742268041238
166557,1468637,rkrk12,19,176,191.4736842105263158,355.4210526315789474,0.10795454545454546
